Start (s),End (s),Scientific name,Common name,Confidence,File
3,6,Neobatrachus sudelli,Sudells Frog,0.5043,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054000.WAV
42,45,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.5379,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054000.WAV
0,3,Neobatrachus sudelli,Sudells Frog,0.5466,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054100.WAV
33,36,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5907,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054500.WAV
42,45,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5248,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054500.WAV
54,57,Limnodynastes dumerilii,Pobblebonk,0.6793,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054500.WAV
9,12,Crinia signifera,Common Eastern Froglet,0.5629,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054700.WAV
24,27,Limnodynastes dumerilii,Pobblebonk,0.6011,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054700.WAV
48,51,Neobatrachus sudelli,Sudells Frog,0.5463,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054700.WAV
54,57,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.5666,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_054700.WAV
12,15,Limnodynastes dumerilii,Pobblebonk,0.5017,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_055500.WAV
24,27,Neobatrachus sudelli,Sudells Frog,0.7916,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_055500.WAV
36,39,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.5661,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_055500.WAV
48,51,Crinia signifera,Common Eastern Froglet,0.5129,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_055500.WAV
54,57,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5253,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_055500.WAV
12,15,Neobatrachus sudelli,Sudells Frog,0.5699,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_055800.WAV
15,18,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.8072,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_055800.WAV
21,24,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.6954,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_055800.WAV
30,33,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.6298,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240103_055800.WAV
3,6,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.5147,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240108_210400.WAV
3,6,Neobatrachus sudelli,Sudells Frog,0.529,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240109_055900.WAV
15,18,Neobatrachus sudelli,Sudells Frog,0.5104,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240109_055900.WAV
18,21,Neobatrachus sudelli,Sudells Frog,0.5936,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240109_055900.WAV
33,36,Neobatrachus sudelli,Sudells Frog,0.5167,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240109_055900.WAV
12,15,Neobatrachus sudelli,Sudells Frog,0.5671,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240109_060600.WAV
15,18,Neobatrachus sudelli,Sudells Frog,0.6915,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240109_060600.WAV
27,30,Neobatrachus sudelli,Sudells Frog,0.6329,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240109_060600.WAV
30,33,Neobatrachus sudelli,Sudells Frog,0.5599,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240109_060600.WAV
33,36,Neobatrachus sudelli,Sudells Frog,0.53,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240109_060600.WAV
54,57,Neobatrachus sudelli,Sudells Frog,0.5653,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240109_060600.WAV
24,27,Neobatrachus sudelli,Sudells Frog,0.5257,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240110_051300.WAV
51,54,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5208,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240110_051300.WAV
6,9,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5846,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240110_051700.WAV
27,30,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.6159,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240110_051700.WAV
36,39,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5645,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240110_051700.WAV
48,51,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5563,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240110_051700.WAV
36,39,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5233,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240110_052900.WAV
45,48,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5264,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240110_052900.WAV
6,9,Neobatrachus sudelli,Sudells Frog,0.6025,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240110_060100.WAV
9,12,Neobatrachus sudelli,Sudells Frog,0.589,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240110_060100.WAV
21,24,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5037,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240110_060100.WAV
24,27,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5228,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240110_060100.WAV
0,3,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5091,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240111_051100.WAV
30,33,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5452,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240111_051100.WAV
54,57,Litoria peronii,Peron's Tree Frog,0.6823,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240111_051100.WAV
54,57,Litoria peronii,Peron's Tree Frog,0.5432,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240112_051200.WAV
54,57,Litoria peronii,Peron's Tree Frog,0.5724,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240112_054100.WAV
24,27,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5244,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240115_051100.WAV
54,57,Litoria peronii,Peron's Tree Frog,0.5619,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240115_051100.WAV
30,33,Limnodynastes dumerilii,Pobblebonk,0.6073,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_051000.WAV
54,57,Limnodynastes dumerilii,Pobblebonk,0.6276,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_051000.WAV
3,6,Limnodynastes dumerilii,Pobblebonk,0.5236,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_051400.WAV
18,21,Limnodynastes dumerilii,Pobblebonk,0.5029,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_051400.WAV
36,39,Limnodynastes dumerilii,Pobblebonk,0.6087,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_051400.WAV
48,51,Limnodynastes dumerilii,Pobblebonk,0.7243,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_051400.WAV
54,57,Limnodynastes dumerilii,Pobblebonk,0.535,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_051400.WAV
12,15,Limnodynastes dumerilii,Pobblebonk,0.5972,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_051600.WAV
30,33,Limnodynastes dumerilii,Pobblebonk,0.6839,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_051600.WAV
39,42,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5128,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_051600.WAV
42,45,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.7037,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_051600.WAV
48,51,Limnodynastes dumerilii,Pobblebonk,0.8252,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_051600.WAV
27,30,Limnodynastes dumerilii,Pobblebonk,0.913,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_052500.WAV
33,36,Limnodynastes dumerilii,Pobblebonk,0.7347,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_052500.WAV
42,45,Limnodynastes dumerilii,Pobblebonk,0.5595,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_052500.WAV
48,51,Limnodynastes dumerilii,Pobblebonk,0.703,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_052500.WAV
9,12,Limnodynastes dumerilii,Pobblebonk,0.7708,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_052600.WAV
12,15,Limnodynastes dumerilii,Pobblebonk,0.7354,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_052600.WAV
42,45,Crinia signifera,Common Eastern Froglet,0.6871,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_052600.WAV
45,48,Limnodynastes dumerilii,Pobblebonk,0.5259,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_052600.WAV
6,9,Limnodynastes dumerilii,Pobblebonk,0.5861,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_052700.WAV
12,15,Limnodynastes dumerilii,Pobblebonk,0.7732,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_052700.WAV
15,18,Crinia signifera,Common Eastern Froglet,0.5297,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_052700.WAV
30,33,Limnodynastes dumerilii,Pobblebonk,0.7209,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_052700.WAV
51,54,Crinia signifera,Common Eastern Froglet,0.5962,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_052700.WAV
3,6,Crinia signifera,Common Eastern Froglet,0.6017,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_053000.WAV
15,18,Crinia signifera,Common Eastern Froglet,0.5021,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_053000.WAV
21,24,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.6483,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_053000.WAV
24,27,Limnodynastes dumerilii,Pobblebonk,0.7016,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_053000.WAV
39,42,Crinia signifera,Common Eastern Froglet,0.5267,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_053000.WAV
45,48,Limnodynastes dumerilii,Pobblebonk,0.5564,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_053000.WAV
54,57,Limnodynastes dumerilii,Pobblebonk,0.6967,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_053000.WAV
6,9,Limnodynastes dumerilii,Pobblebonk,0.5401,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_053600.WAV
12,15,Limnodynastes dumerilii,Pobblebonk,0.5907,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_053600.WAV
18,21,Geocrinia laevis,Southern Smooth Froglet,0.6982,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_053600.WAV
21,24,Limnodynastes dumerilii,Pobblebonk,0.6378,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_053600.WAV
33,36,Crinia signifera,Common Eastern Froglet,0.6225,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_053600.WAV
51,54,Geocrinia laevis,Southern Smooth Froglet,0.5498,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_053600.WAV
3,6,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5312,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_053800.WAV
12,15,Limnodynastes dumerilii,Pobblebonk,0.6601,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_053800.WAV
51,54,Limnodynastes dumerilii,Pobblebonk,0.5361,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_053800.WAV
18,21,Limnodynastes dumerilii,Pobblebonk,0.5198,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_055200.WAV
33,36,Limnodynastes dumerilii,Pobblebonk,0.6137,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_055200.WAV
48,51,Limnodynastes dumerilii,Pobblebonk,0.5986,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_055200.WAV
54,57,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.6058,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_055200.WAV
18,21,Geocrinia laevis,Southern Smooth Froglet,0.5964,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_055500.WAV
24,27,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.503,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_055500.WAV
3,6,Crinia signifera,Common Eastern Froglet,0.6325,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_055800.WAV
21,24,Crinia signifera,Common Eastern Froglet,0.6601,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_055800.WAV
24,27,Neobatrachus sudelli,Sudells Frog,0.6157,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_055800.WAV
12,15,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5301,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_055900.WAV
24,27,Limnodynastes dumerilii,Pobblebonk,0.5624,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_055900.WAV
39,42,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.5674,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_055900.WAV
42,45,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.5433,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_055900.WAV
54,57,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.6968,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_055900.WAV
15,18,Crinia signifera,Common Eastern Froglet,0.5215,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_060100.WAV
24,27,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.5914,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_060100.WAV
6,9,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.507,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_060400.WAV
12,15,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5257,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_060400.WAV
21,24,Limnodynastes dumerilii,Pobblebonk,0.6474,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_060400.WAV
24,27,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.5626,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_060400.WAV
27,30,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5003,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_060400.WAV
51,54,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5708,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_060400.WAV
3,6,Crinia signifera,Common Eastern Froglet,0.6003,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_060500.WAV
24,27,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5292,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_060500.WAV
33,36,Limnodynastes tasmaniensis,Spotted Marsh Frog,0.5259,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_060500.WAV
36,39,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.7168,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240118_060500.WAV
3,6,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.6314,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240120_053600.WAV
21,24,Crinia signifera,Common Eastern Froglet,0.6071,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240120_053600.WAV
21,24,Geocrinia laevis,Southern Smooth Froglet,0.554,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240120_053600.WAV
24,27,Crinia signifera,Common Eastern Froglet,0.6335,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240120_053600.WAV
30,33,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5103,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240120_053600.WAV
33,36,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.6168,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240120_053600.WAV
42,45,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5909,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240120_053600.WAV
48,51,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.5739,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240120_053600.WAV
51,54,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.6761,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240120_053600.WAV
0,3,Crinia parinsignifera,Eastern Sign-bearing Froglet,0.676,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240120_053800.WAV
15,18,Crinia signifera,Common Eastern Froglet,0.8163,E:/Paul Stuff/full_audiofiles_frogs/data\Crinia parinsignifera_Eastern Sign-bearing Froglet-AUVIC_Yirraba_11F_20240120_053800.WAV
